SampleLabel,Time,7Li,26Mg,27Al,29Si,31P,43Ca,45Sc,48Ti,51V,52Cr,55Mn,57Fe,59Co,60Ni,63Cu,66Zn,88Sr,89Y,90Zr
bir-1,19079,1800.113,39654.962,27326.11,70774.885,3900.532,1500.079,3500.429,2400.202,300.003,45070.987,3300.381,22718.049,3300.381,18211.601,1700.101,300.003,100,0,200.001
bir-1,19469,600.013,37047.977,23519.345,63340.108,3800.506,1100.042,3600.454,2000.14,700.017,46977.113,3800.506,25723.138,2400.202,19513.318,1000.035,400.006,100,0,100
bir-1,19859,1200.05,39053.308,25422.601,65047.756,4000.56,1400.069,4500.709,2200.169,100,41359.786,3800.506,24721.372,2200.169,18511.987,700.017,0,200.001,0,400.006
bir-1,20209,1500.079,42262.422,23819.842,72784.947,3900.532,900.028,4000.56,1600.09,400.006,44067.865,3600.454,23018.53,3500.429,17210.361,1100.042,200.001,200.001,0,0
bir-1,20599,2000.14,39253.856,26224.047,72282.405,3800.506,1200.05,3700.479,2700.255,500.009,48783.151,3300.381,20414.576,4100.588,18712.247,600.013,300.003,600.013,0,100
bir-1,20989,700.017,37850.076,23619.51,64545.486,3100.336,1300.059,3300.381,2100.154,0,47378.435,4300.647,25723.138,3300.381,19913.87,1200.05,0,400.006,0,0
bir-1,21379,900.028,40056.079,27025.539,65750.964,3400.405,300.003,3700.479,1800.113,500.009,43165.115,3300.381,26324.231,2100.154,13306.194,1100.042,200.001,300.003,200.001,0
bir-1,21769,900.028,42061.831,24521.027,64947.3,3800.506,700.017,3200.358,700.017,800.022,44067.865,2500.219,21215.742,2200.169,18011.347,1000.035,300.003,200.001,300.003,100
bir-1,22159,900.028,36646.945,26524.602,64746.392,3900.532,700.017,3600.454,2100.154,400.006,50188.005,3500.429,25522.779,2700.255,18612.116,500.009,100,0,0,400.006
bir-1,22548,700.017,39554.684,25923.5,61933.963,3100.336,1200.05,3300.381,2200.169,100,40356.923,5401.021,23118.691,3400.405,17410.603,500.009,0,0,400.006,100
bir-1,22899,1000.035,38852.762,29330.078,63942.784,4000.56,600.013,4100.588,2100.154,300.003,43867.248,3600.454,22117.108,4000.56,17911.221,1200.05,100,500.009,200.001,200.001
bir-1,23289,1600.09,37950.341,29430.284,58318.795,3700.479,1700.101,4800.806,1800.113,400.006,48181.113,4500.709,22617.891,2100.154,19713.593,2100.154,200.001,100,0,200.001
